,compSize,skill,experience,education,salary
682,2000.0,2,4.0,2,10.5
683,2000.0,6,4.0,2,26.5
684,1250.0,7,4.0,2,23.0
685,100.0,10,4.0,2,11.0
686,325.0,7,2.0,1,7.5
687,100.0,9,4.0,0,15.0
688,1250.0,8,7.5,1,25.0
689,1250.0,13,2.0,2,16.5
690,1250.0,6,4.0,2,15.0
691,2000.0,10,4.0,2,13.5
692,325.0,3,7.5,2,30.0
693,1250.0,7,4.0,1,15.0
694,325.0,5,2.0,1,17.0
695,100.0,5,4.0,2,21.5
696,100.0,12,2.0,2,15.0
697,325.0,7,2.0,1,11.5
698,1250.0,13,7.5,1,24.0
699,325.0,8,2.0,2,16.5
700,325.0,9,4.0,2,16.0
701,325.0,1,4.0,0,15.0
702,1250.0,8,4.0,2,22.5
703,100.0,6,7.5,2,20.0
704,100.0,9,4.0,1,15.0
705,325.0,8,4.0,2,20.0
706,325.0,6,4.0,1,12.5
707,1250.0,2,4.0,2,10.5
708,1250.0,11,4.0,2,13.0
709,2000.0,9,7.5,2,20.0
710,100.0,12,4.0,2,17.5
711,2000.0,4,7.5,2,17.5
712,2000.0,15,2.0,2,7.5
713,2000.0,5,4.0,2,24.0
714,1250.0,2,4.0,1,20.0
715,1250.0,8,4.0,2,22.5
716,1250.0,3,2.0,2,9.0
717,100.0,5,4.0,0,22.5
718,325.0,7,4.0,2,20.0
719,325.0,7,4.0,2,15.0
720,2000.0,13,4.0,2,16.0
721,325.0,7,4.0,2,15.0
722,2000.0,11,4.0,1,16.5
723,2000.0,12,7.5,2,27.5
724,2000.0,13,0.0,2,20.0
725,325.0,7,4.0,1,11.5
726,325.0,10,4.0,2,30.0
727,2000.0,9,4.0,2,30.0
728,2000.0,9,7.5,1,20.5
729,325.0,10,4.0,2,15.0
730,2000.0,15,2.0,2,11.5
731,1250.0,11,2.0,0,10.5
732,100.0,12,7.5,2,25.0
733,2000.0,15,4.0,2,22.5
734,2000.0,1,0.0,2,22.5
735,1250.0,11,0.0,0,10.5
736,2000.0,15,4.0,2,22.5
737,2000.0,1,0.0,2,22.5
738,2000.0,13,4.0,2,17.5
739,2000.0,10,4.0,2,22.5
740,100.0,10,7.5,1,27.5
741,325.0,8,4.0,1,15.0
742,1250.0,9,4.0,1,15.0
743,2000.0,4,7.5,2,30.0
744,2000.0,0,4.0,2,16.5
745,1250.0,12,2.0,2,12.5
746,2000.0,9,4.0,2,6.0
747,1250.0,7,4.0,1,15.0
748,1250.0,9,4.0,2,22.5
